Field change time,Message,Device,Availability Period
2025-01-31 15:53:03.308,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 15:08:48.768,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 15:08:47.734,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 15:08:34.448,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 14:59:11.708,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:59:09.718,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:58:50.411,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:52:48.507,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:52:46.499,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:52:15.882,Remote unit state changed from Initializing to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:52:15.878,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:52:00.569,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:29:27.367,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:29:25.285,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:29:17.202,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:14:23.550,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:14:22.499,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:14:08.234,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 14:09:42.736,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 14:09:39.723,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 14:09:35.663,Remote unit state changed from Telemetry Failure to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 14:09:27.487,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,ม.ค. 2025
2025-01-31 13:59:45.480,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:59:43.444,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:59:34.259,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:29:09.555,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:29:08.583,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:28:49.258,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:26:34.009,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:26:31.975,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 13:26:12.606,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:59:55.765,Remote unit state changed from Initializing to Online.,S1-VSP-0029,ม.ค. 2025
