Field change time,Message,Device,Availability Period
2025-04-01 03:58:41.281,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:00:11.825,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:00:30.161,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:02:38.265,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:02:39.297,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:11:13.323,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:11:15.295,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:24:23.109,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:24:25.144,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:34:45.078,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:34:47.130,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:47:06.554,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:47:07.558,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:51:43.547,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:52:00.828,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:57:51.890,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 04:58:37.734,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:13:02.163,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:13:04.267,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:19:20.019,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:19:25.162,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:21:36.330,Remote unit state changed from Online to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:21:37.412,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:21:39.393,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:24:32.614,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:24:33.724,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:28:43.826,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:28:47.899,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:29:09.281,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:30:07.383,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:46:03.439,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:46:03.458,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:48:06.490,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:49:08.621,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:52:05.833,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:52:26.192,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:53:24.117,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:55:31.269,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:55:36.311,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:55:38.344,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:58:39.499,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:58:49.629,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:59:22.183,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 05:59:39.492,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 06:06:51.171,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 06:07:41.125,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 07:03:52.121,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 07:04:03.328,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 07:22:16.008,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 07:22:30.245,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 08:37:16.670,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 08:37:27.848,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 08:48:08.586,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 08:48:09.596,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 09:30:18.336,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 09:30:22.427,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 09:33:15.384,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 09:33:25.578,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 12:21:28.948,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 12:21:39.158,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 12:34:50.641,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 12:34:52.684,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:15:27.320,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:15:49.672,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:18:25.375,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:18:27.391,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:21:52.909,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:22:10.181,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:25:21.475,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:25:22.467,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:27:34.747,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:27:38.869,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:50:15.301,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 13:52:03.227,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 14:02:24.350,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 14:02:25.838,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 15:11:13.890,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 15:11:16.943,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 15:53:55.302,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 15:56:16.804,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 15:56:21.987,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 15:56:26.012,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 16:17:58.484,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 16:18:15.815,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:02:18.815,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:02:41.171,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:33:36.351,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:40:12.169,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:40:17.252,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:40:19.278,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:49:30.945,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:49:31.995,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:54:55.688,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 17:55:20.095,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 18:35:03.086,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 18:38:06.515,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 18:38:12.413,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 18:38:12.579,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 19:13:12.699,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 19:13:19.787,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 19:23:34.910,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 19:24:19.781,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 21:14:24.422,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 21:14:38.598,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 21:28:04.468,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 21:28:05.528,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 22:19:56.269,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 22:20:14.634,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 22:36:22.181,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 22:36:25.222,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 22:49:19.423,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 22:49:55.977,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 23:15:45.315,Remote unit state changed from Online to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 23:15:56.447,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 23:16:01.563,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:00:22.181,Remote unit state changed from Online to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:01:35.468,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:01:39.442,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:08:58.151,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:08:59.231,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:14:10.654,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:14:23.895,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:35:11.725,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:35:15.746,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:49:03.734,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:49:26.179,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:54:20.391,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 00:55:37.653,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:19:29.922,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:19:33.070,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:19:55.358,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:19:56.409,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:35:26.441,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:35:27.471,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:38:19.523,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 01:39:20.641,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 02:51:36.396,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 02:52:01.858,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:21:19.323,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:21:25.303,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:22:27.501,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:22:55.946,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:35:59.571,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:36:07.687,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:49:20.402,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:49:21.457,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:58:13.986,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 03:59:00.796,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:01:36.605,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:01:36.723,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:01:59.089,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:02:20.406,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:05:51.045,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:05:53.050,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:07:05.215,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:07:09.355,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:23:03.208,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:23:41.959,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:55:59.657,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 04:56:00.702,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:10:08.135,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:10:24.483,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:13:43.957,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:13:51.033,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:17:15.203,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:17:18.358,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:22:27.828,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:25:10.710,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:25:15.770,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:25:35.130,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:33:37.608,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:34:29.488,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:38:20.423,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:38:23.522,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:44:25.780,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:45:03.462,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:59:06.219,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 05:59:25.467,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:06:53.240,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:09:29.825,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:09:34.965,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:09:37.968,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:10:29.905,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:10:39.051,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:15:38.224,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:15:45.400,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:18:09.724,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:18:14.811,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:45:26.146,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:45:26.154,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-02 06:46:42.539,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
