Field change time,Message,Device,Availability Period
2025-02-28 20:05:55.635,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0024,ก.พ. 2025
2025-02-28 20:05:44.414,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,ก.พ. 2025
2025-02-28 19:43:17.480,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 19:43:15.358,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 19:43:02.102,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 18:09:57.733,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 18:09:53.749,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 18:09:03.873,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 18:03:33.366,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 18:03:31.261,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 18:03:18.106,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:58:57.647,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:58:55.574,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:58:53.512,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:56:57.549,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:56:56.474,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:56:43.225,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:48:52.255,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:48:50.191,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:48:29.810,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:42:15.341,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:42:13.378,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 17:41:23.431,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 16:31:42.921,Remote unit state changed from Initializing to Online.,S1-VSP-0023,ก.พ. 2025
2025-02-28 16:31:33.772,Remote unit state changed from Connecting to Initializing.,S1-VSP-0023,ก.พ. 2025
2025-02-28 16:31:22.651,Remote unit state changed from Online to Connecting.,S1-VSP-0023,ก.พ. 2025
2025-02-28 15:31:43.606,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:31:41.552,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:31:10.022,Remote unit state changed from Initializing to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:31:10.020,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:30:52.723,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:07:36.230,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:07:34.159,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:07:20.929,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:02:31.023,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:02:29.041,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:02:23.946,Remote unit state changed from Telemetry Failure to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 15:02:20.901,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0025,ก.พ. 2025
2025-02-28 14:53:29.721,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 14:53:28.738,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 14:53:09.402,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 14:50:07.333,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 14:50:05.331,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
